# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 6 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-GEOD-22966
# Timestamp: Mon, 28-Jan-2019 15:44:11
Gene ID	Gene Name	Design Element	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium chloride' at '2 hour'.foldChange	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium chloride' at '2 hour'.pValue	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium chloride' at '2 hour'.tStat	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium chloride' at '48 hour'.foldChange	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium chloride' at '48 hour'.pValue	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium chloride' at '48 hour'.tStat	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium chloride' at '8 hour'.foldChange	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium chloride' at '8 hour'.pValue	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium chloride' at '8 hour'.tStat	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium nitrate' at '2 hour'.foldChange	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium nitrate' at '2 hour'.pValue	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium nitrate' at '2 hour'.tStat	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium nitrate' at '48 hour'.foldChange	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium nitrate' at '48 hour'.pValue	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium nitrate' at '48 hour'.tStat	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium nitrate' at '8 hour'.foldChange	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium nitrate' at '8 hour'.pValue	'split root system, one side' vs 'control root system, both sides' in '5 millimolar; potassium nitrate' at '8 hour'.tStat
AT1G01010	NAC001	261585_at							-0.1	0.999896457276583	-0.428146824052298	-0.1	0.999983176775512	-0.497651177259835						
AT1G01030	NGA3	261568_at										-0.1	0.999983176775512	-1.44217354859578						
AT1G01040	DCL1	261584_at				-0.3	0.120609175678175	-2.40555116709938	0.1	0.999896457276583	0.814998298916963	0.1	0.999983176775512	0.462396458080331						
AT1G01050	PPA1	261579_at							0.1	0.999896457276583	1.12311436942949									
AT1G01060	LHY	261569_at				-0.3	0.272433170261781	-1.59871929726978	0.2	0.999896457276583	2.07541494575998				-0.1	0.912721502040877	-0.339661070502081			
AT1G01070	AT1G01070	261576_at							-0.2	0.999896457276583	-1.45610451022633									
AT1G01080	AT1G01080	261577_at							0.1	0.999896457276583	1.55384627118595	0.1	0.999983176775512	0.911691739533176						
AT1G01100	RPP1A	261578_at							0.1	0.999896457276583	1.1648284361047									
AT1G01110	IQD18	261580_at							0.1	0.999896457276583	0.765032772867943									
AT1G01120	KCS1	261570_at							-0.1	0.999896457276583	-0.66101760576292	-0.1	0.999983176775512	-0.878947526410472						
AT1G01130	AT1G01130	261575_at							-0.1	0.999896457276583	-1.00697385754368									
AT1G01140	CIPK9	261581_at				-0.3	0.0736720435604385	-2.84808263114786	0.1	0.999896457276583	0.585081910980159	-0.1	0.999983176775512	-0.540987946285058						
AT1G01150	AT1G01150	261571_at							-0.1	0.999896457276583	-1.25390680202569									
AT1G01160	GIF2	261582_at	0.5	0.0444420736410606	5.54522705294803				-0.1	0.999896457276583	-0.79591910630668									
AT1G01170	AT1G01170	261572_at				0.5	0.0227520539666853	4.13686403757705	0.3	0.999896457276583	1.55794267177036	0.3	0.999983176775512	2.48384277879				-0.3	0.481273372788608	-1.36534154577648
AT1G01190	CYP78A8	261574_at				-1.3	0.00443930484819519	-6.23310560717628				-0.1	0.999983176775512	-0.565304334806611	0.4	0.342901436231803	1.95189505929589			
